Product Name,Description,Price,Category,Slug,Featured
Plain Cheese Pizza,100% Grande Mozzarella,18.99,Pizza,plain-cheese-pizza,True
White Cheese Pizza,"Ricotta, mozzarella cheese and Grande mozzarella",19.99,Pizza,white-cheese-pizza,False
Pizza by the Slice,1 slice of pizza,2.5,Pizza,pizza-by-the-slice,False
2 Slices + Can Drink,2 slices of pizza with a can of soda,6.0,Pizza,2-slices-can-drink,True
Our Signature Thin Crust,The Works Pizza,21.99,Gourmet Pizza,signature-thin-crust,True
The Works Pizza,"Meat, green pepper, mushrooms, and fried onions",21.99,Gourmet Pizza,the-works-pizza,False
White Special Pizza,"Spinach, ricotta, mozzarella cheese and fresh garlic sauce",21.99,Gourmet Pizza,white-special-pizza,False
Buffalo Chicken Pizza,"Grilled chicken, buffalo sauce",21.99,Gourmet Pizza,buffalo-chicken-pizza,False
Chicken Ranch Pizza,Grilled chicken with ranch dressing,21.99,Gourmet Pizza,chicken-ranch-pizza,False
Chicken Parm Pizza,"Grilled or crispy chicken with mozzarella cheese, and sauce",21.99,Gourmet Pizza,chicken-parm-pizza,False
Chicken Alfredo Pizza,"Grilled chicken, Alfredo sauce",21.99,Gourmet Pizza,chicken-alfredo-pizza,False
Shrimp Alfredo Pizza (XL),"Fresh shrimp, Alfredo and Grande mozzarella",25.99,Gourmet Pizza,shrimp-alfredo-pizza,False
Greek Pizza,"Spinach, feta cheese topped with spinach",21.99,Gourmet Pizza,greek-pizza,False
House Pizza,"Fresh green peppers, onions, mozzarella cheese, and fried onions",21.99,Gourmet Pizza,house-pizza,False
Philly Cheesesteak Pizza,"Sliced steak, American cheese, onion",23.99,Gourmet Pizza,philly-cheesesteak-pizza,False
Veggie Pizza,"Fresh green peppers, onions, mushrooms",21.99,Gourmet Pizza,veggie-pizza,False
White Cheese Sicilian,"100% Grande Mozzarella, thick crust",18.99,Sicilian Pizza,white-cheese-sicilian,False
Sicilian Meat Lover,"Sausage, ham, pepperoni, bacon",23.99,Sicilian Pizza,sicilian-meat-lover,False
